,accuracy,loss,val_accuracy,val_loss
0,0.6926328539848328,0.7449291944503784,0.7664087414741516,0.5571269392967224
1,0.7905721664428711,0.5099154710769653,0.8093225359916687,0.46082472801208496
2,0.7826464176177979,0.5234883427619934,0.8224570751190186,0.4313618540763855
3,0.8255208134651184,0.42745521664619446,0.8330628275871277,0.4164501428604126
4,0.8374471664428711,0.406280517578125,0.8195131421089172,0.44850507378578186
5,0.8483544588088989,0.37319302558898926,0.8665408492088318,0.3412633240222931
6,0.859865665435791,0.35179781913757324,0.8626910448074341,0.3481217622756958
7,0.8547328114509583,0.37073811888694763,0.8436686396598816,0.4036712646484375
8,0.8676403760910034,0.335293710231781,0.8676731586456299,0.34520307183265686
9,0.8644701242446899,0.3431331515312195,0.8715229034423828,0.32537806034088135
10,0.8774909377098083,0.31646728515625,0.8789205551147461,0.325015664100647
11,0.8869263529777527,0.2932157516479492,0.8919419050216675,0.2870846688747406
12,0.8855298757553101,0.29518160223960876,0.8932628631591797,0.2813689112663269
13,0.8913421034812927,0.2797817587852478,0.8843555450439453,0.3062513768672943
14,0.8923988342285156,0.27802154421806335,0.8865069150924683,0.29016855359077454
15,0.8912665843963623,0.2796483039855957,0.8935648202896118,0.2946974039077759
16,0.9008907079696655,0.2586863040924072,0.8841291069984436,0.30269938707351685
17,0.901494562625885,0.2522450387477875,0.898848831653595,0.2635006904602051
18,0.9034193754196167,0.25075870752334595,0.9097565412521362,0.24033448100090027
19,0.8984752297401428,0.2618790566921234,0.9112285375595093,0.2380695939064026
