,accuracy,loss,val_accuracy,val_loss
0,0.6432291865348816,0.8213042616844177,0.7278732061386108,0.710249125957489
1,0.7624546885490417,0.574565052986145,0.7953953742980957,0.4996285140514374
2,0.7945350408554077,0.4955053925514221,0.8176259398460388,0.46668002009391785
3,0.8168780207633972,0.4494220018386841,0.8382336497306824,0.39870715141296387
4,0.8256340622901917,0.4285888373851776,0.8288733959197998,0.4377994239330292
5,0.8415232300758362,0.393131822347641,0.8645027279853821,0.34389978647232056
6,0.8497508764266968,0.38026753067970276,0.8655973076820374,0.35099098086357117
7,0.8611111044883728,0.35442790389060974,0.877448558807373,0.31064000725746155
8,0.8697161674499512,0.33494243025779724,0.8681260347366333,0.3375159502029419
9,0.8694142699241638,0.33192241191864014,0.8811473846435547,0.3093438148498535
10,0.8743961453437805,0.31989243626594543,0.8703529238700867,0.3386193811893463
11,0.8742074370384216,0.3184739351272583,0.8939422369003296,0.2755815386772156
12,0.8811518549919128,0.30452802777290344,0.8905453681945801,0.28529092669487
13,0.885378897190094,0.2963017225265503,0.8904699087142944,0.2841967046260834
14,0.890964686870575,0.287897527217865,0.892545759677887,0.27756375074386597
15,0.8899456262588501,0.2848372757434845,0.9020947217941284,0.25595998764038086
16,0.8958333134651184,0.2769840359687805,0.9014153480529785,0.2642814517021179
17,0.8935688138008118,0.2789054811000824,0.898848831653595,0.2622077167034149
18,0.8928517699241638,0.28202003240585327,0.9014530777931213,0.2699179947376251
19,0.9022116661071777,0.26121944189071655,0.8996414542198181,0.26768797636032104
