,accuracy,loss,val_accuracy,val_loss
0,0.7512454986572266,0.6279317736625671,0.8190224766731262,0.42478564381599426
1,0.8395229578018188,0.3808697462081909,0.8628420233726501,0.3641250729560852
2,0.8874546885490417,0.28165823221206665,0.9180222749710083,0.22504954040050507
3,0.9241017699241638,0.19609768688678741,0.9321004152297974,0.20296509563922882
4,0.9522569179534912,0.12718723714351654,0.9492356777191162,0.18393632769584656
5,0.9665232300758362,0.09356299042701721,0.9296848177909851,0.29172831773757935
6,0.9758453965187073,0.07628746330738068,0.9551236033439636,0.19976960122585297
7,0.9827143549919128,0.05471726134419441,0.9570862650871277,0.2102699875831604
8,0.9864507913589478,0.043212153017520905,0.9571994543075562,0.24466072022914886
9,0.9890927076339722,0.04036356136202812,0.959539532661438,0.23415543138980865
10,0.9876207709312439,0.04030808061361313,0.9584827423095703,0.29507458209991455
11,0.9921497702598572,0.029135487973690033,0.9494244456291199,0.32869815826416016
12,0.9937726259231567,0.02115417644381523,0.9620305895805359,0.29174792766571045
13,0.9918100833892822,0.029409795999526978,0.9493489265441895,0.3537863790988922
14,0.9929046034812927,0.02302313968539238,0.9615776538848877,0.290485143661499
15,0.9926403760910034,0.027817999944090843,0.9510473608970642,0.35795384645462036
16,0.992678165435791,0.02509906515479088,0.9571994543075562,0.36223092675209045
17,0.9960371255874634,0.016359416767954826,0.9607473015785217,0.3518836498260498
18,0.9943764805793762,0.021824127063155174,0.9566333293914795,0.45283088088035583
19,0.9942255616188049,0.02158999815583229,0.9588601589202881,0.4189832806587219
