,accuracy,loss,val_accuracy,val_loss
0,0.7046346664428711,0.6962767243385315,0.7933949828147888,0.5044314861297607
1,0.7906854152679443,0.5078049302101135,0.825702965259552,0.442457377910614
2,0.8221241235733032,0.4381171762943268,0.8400075435638428,0.40342628955841064
3,0.8375981450080872,0.4092218279838562,0.8594451546669006,0.3557524085044861
4,0.8537137508392334,0.376753032207489,0.8440460562705994,0.3837873041629791
5,0.8591862916946411,0.3662322461605072,0.8670692443847656,0.34244072437286377
6,0.8671497702598572,0.33702507615089417,0.8765804767608643,0.3178047239780426
7,0.8698671460151672,0.3353186249732971,0.8778259754180908,0.31464606523513794
8,0.8764719367027283,0.3227185606956482,0.8690319061279297,0.35371333360671997
9,0.8798308968544006,0.313894122838974,0.8879788517951965,0.29483553767204285
10,0.8815670013427734,0.3062151372432709,0.8848839402198792,0.29101788997650146
11,0.8875302076339722,0.2940475344657898,0.888205349445343,0.3005507290363312
12,0.8910024166107178,0.28572291135787964,0.9042460918426514,0.25097906589508057
13,0.8917572498321533,0.28357207775115967,0.9051141738891602,0.2608567476272583
14,0.8988149166107178,0.266909122467041,0.9026986360549927,0.2648843824863434
15,0.8982865214347839,0.2660607099533081,0.8962445855140686,0.29166507720947266
16,0.8998339176177979,0.2666562795639038,0.898848831653595,0.272500216960907
17,0.901494562625885,0.2591315507888794,0.8817890286445618,0.3073295056819916
18,0.9032683968544006,0.25372737646102905,0.8980562090873718,0.27926531434059143
19,0.9043629169464111,0.25748875737190247,0.8840535879135132,0.3196641504764557
